userId,hotelID,Hotel_Name,Average_Rating,Predicted_Rating,Hybrid_Score,Normalized_Hybrid_Score,Rank,Number_of_Reviewers
shijie,28_24,InterContinental Residences Nha Trang,9.94,8.585547,17.85314401978049,0.9596855685152477,4,7
shijie,8_27,Vinpearl Luxury Nha Trang,10.0,8.561587,15.34030517674268,0.0,5,5
shin,5_30,Holi Anna Boutique Hotel,8.91,9.447654,47.01845730608944,10.0,1,144
shin,12_7,Gran Meliá Nha Trang,9.49,9.273095,39.528236012464234,7.29013592594672,2,70
shin,13_26,Nhà Rosemary Bãi Dài - Căn hộ hướng biển gần sân bay Cam Ranh (Rosemary Home at Bai Dai Beach Nha Trang - Seaview Condo near Int't Cam Ranh Airport),9.2,9.346132,22.411046409425254,1.0973606612811317,3,10
shin,39_17,Gold Coast Hotel Nha Trang,9.09,9.713739,20.199153223309406,0.29712664338904227,4,7
shin,28_24,InterContinental Residences Nha Trang,9.94,9.3187895,19.377877967282586,0.0,5,7
shina,17_11,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),9.59,9.5563965,35.25239464657759,10.0,1,39
shina,13_26,Nhà Rosemary Bãi Dài - Căn hộ hướng biển gần sân bay Cam Ranh (Rosemary Home at Bai Dai Beach Nha Trang - Seaview Condo near Int't Cam Ranh Airport),9.2,9.147878,21.93565267660504,2.53916890245859,2,10
shina,39_17,Gold Coast Hotel Nha Trang,9.09,9.2450285,19.224496308156606,1.0202178114464078,3,7
shina,33_21,Khách sạn Long Hồ (Long Hồ Hotel),9.2,9.556973,18.597011644883196,0.6686635724638672,4,6
shina,9_14,The Pool Villa Cam Ranh - All Private Pool Villas,8.32,9.713091,17.403522589467418,0.0,5,5
shinhwa,17_11,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),9.59,9.866343,36.3957482998616,10.0,1,39
shinhwa,18_4,Rosemary Home @ Bai Dai Beach Nha Trang,9.18,9.313888,29.20364068548103,5.683120341201406,2,22
shinhwa,3_24,Oasis Nha Trang Hotel,9.16,9.485184,28.415070978071675,5.209801432199877,3,19
shinhwa,28_24,InterContinental Residences Nha Trang,9.94,10.043562,20.88499991495667,0.6900678096560882,4,7
shinhwa,33_21,Khách sạn Long Hồ (Long Hồ Hotel),9.2,10.141947,19.735317194904262,0.0,5,6
shinhye,9_24,Khu nghỉ dưỡng Selectum Noa Cam Ranh (Selectum Noa Resort Cam Ranh),9.08,8.847808,46.834144161757585,10.0,1,198
shinhye,12_7,Gran Meliá Nha Trang,9.49,8.882846,37.864728377572185,6.778076299458932,2,70
shinhye,10_7,"Biệt thự 240 m² 3 phòng ngủ, 4 phòng tắm riêng ở Biển Bãi Dài (Biệt thự hồ bơi riêng Cam Ranh Mystery Villa & Spa)",8.91,9.279005,23.057461353799436,1.4591251311731768,3,11
shinhye,13_26,Nhà Rosemary Bãi Dài - Căn hộ hướng biển gần sân bay Cam Ranh (Rosemary Home at Bai Dai Beach Nha Trang - Seaview Condo near Int't Cam Ranh Airport),9.2,8.858489,21.241728984903556,0.8068918872310216,4,10
shinhye,28_24,InterContinental Residences Nha Trang,9.94,9.134879,18.99544710422287,0.0,5,7
shinichi,2_7,The Swan Hotel,9.01,8.326176,37.27909293929504,10.0,1,87
shinichi,12_7,Gran Meliá Nha Trang,9.49,8.183325,34.88289401126046,8.768052774961177,2,70
shinichi,17_11,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),9.59,8.244681,30.41363566848702,6.470292622853348,3,39
shinichi,2_3,ELITE HOTEL NHA TRANG,9.82,8.127018,23.49010323043108,2.910727315174433,4,17
shinichi,39_17,Gold Coast Hotel Nha Trang,9.09,8.573741,17.82859311809478,0.0,5,7
shinji,17_11,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),9.59,10.387388,38.317823021228364,10.0,1,39
shinji,13_26,Nhà Rosemary Bãi Dài - Căn hộ hướng biển gần sân bay Cam Ranh (Rosemary Home at Bai Dai Beach Nha Trang - Seaview Condo near Int't Cam Ranh Airport),9.2,9.943345,23.843100138880835,2.539167377520827,2,10
