Hotel ID,Hotel Name,Average Rating,Predicted Rating,Avg Normalized Hybrid Score,Number of Visitors,Times Recommended
4_8,Khách Sạn Boutique Em Ơi (Em Oi Boutique Hotel),9.47,9.62,9.44,45.0,17
24_17,MAJESTIC PREMIUM,9.14,9.38,10.0,105.0,16
4_23,Khách sạn Havana  Nha Trang (Havana Nha Trang Hotel),9.39,9.48,10.0,142.0,16
32_14,An Vista Hotel,8.9,8.72,10.0,48.0,16
23_15,Condotel Arena's at Bai Dai Beach Nha Trang,9.24,8.45,1.47,9.0,15
3_17,Khách sạn Skylight Nha Trang (Skylight Nha Trang Hotel),9.12,8.72,3.88,10.0,15
1_7,Khách sạn Mega Light (Mega Light Hotel),8.86,8.71,10.0,92.0,14
30_26,Green Home Nha Trang,9.55,9.66,8.38,16.0,14
1_12,Khách sạn AZURA (Azura Hotel),9.05,8.97,10.0,71.0,14
1_22,Khách Sạn Apollo Nha Trang (Apollo Hotel Nha Trang),8.84,8.72,8.18,37.0,14
19_16,Khách sạn Sochi (Sochi Hotel),9.08,9.14,10.0,110.0,14
26_17,Aquamarine Resort Hotel Cam Ranh,9.1,9.46,3.5,8.0,14
28_7,Khách sạn Le Soleil Nha Trang (Le Soleil Hotel Nha Trang),8.63,8.95,9.99,60.0,13
37_14,ISeaview Heritage Boutique Hotel,8.93,8.81,9.12,36.0,13
3_20,Khách sạn Blue Pearl (Blue Pearl Hotel),8.97,8.8,9.78,29.0,13
6_15,Căn hộ dịch vụ hướng biển ở Cam Ranh - Nha Trang (JOY Sea-View Serviced Apartment in Cam Ranh - Nha Trang),9.19,9.1,9.68,41.0,13
1_8,Navada Beach Hotel,9.57,9.75,10.0,155.0,13
34_26,Sun and Sea Mường Thanh Holidays (Sun and Sea Muong Thanh Holidays),9.04,9.19,9.13,55.0,13
1_1,Khách sạn Mường Thanh Luxury Nha Trang (Muong Thanh Luxury Nha Trang Hotel),9.37,9.34,10.0,129.0,12
3_10,Khách sạn Dendro Gold (Dendro Gold Hotel ),9.28,9.6,10.0,130.0,12
3_27,GM Doc Let Beach Resort and Spa,8.18,8.24,10.0,56.0,12
5_7,Khách Sạn Hướng Biển Aqua (Aqua Seaview Hotel),9.63,9.77,8.09,43.0,12
3_4,Handy Panorama Nha Trang Ocean View,9.01,9.05,10.0,125.0,12
4_25,Diamond Bay Hotel,9.26,9.64,10.0,146.0,12
9_7,Vinpearl Resort Nha Trang,9.33,8.92,9.11,99.0,12
20_28,Santorini Villa Cam Ranh,9.03,8.72,10.0,37.0,11
1_25,Khách sạn Marilyn Boutique Nha Trang (Marilyn Boutique Hotel Nha Trang),9.39,9.01,10.0,79.0,11
1_2,ALPHA BIRD NHA TRANG,9.1,8.92,10.0,120.0,11
4_26,La Sera Suites Nha Trang,9.12,9.37,1.71,10.0,10
2_10,Oceanus Oasis Retreat Muong Thanh Vien Trieu,8.64,7.65,10.0,65.0,10
8_15,Khách sạn Nhi Phi (Nhi Phi Hotel Nha Trang),8.45,7.69,10.0,71.0,9
6_18,Homie Panorama Nha Trang,9.07,9.0,6.36,19.0,9
1_23,Holi Panorama Nha Trang,9.16,9.64,9.83,128.0,9
33_22,Khách Sạn Sun Kiss (Sun Kiss Hotel),9.42,9.86,7.39,26.0,8
3_18,Khách sạn Bonjour Nha Trang (Bonjour Nha Trang Hotel),8.81,8.38,10.0,54.0,8
4_6,Khách sạn Alibaba (Alibaba Hotel),8.94,9.42,7.09,14.0,8
7_6,Saphia hotel Nha Trang,9.19,9.42,10.0,31.0,8
12_30,Aura Panorama Nha Trang,9.28,9.15,9.28,25.0,7
3_23,Fusion Resort Cam Ranh – All Spa Inclusive (Fusion Resort Cam Ranh - All Spa Inclusive),9.12,8.83,10.0,195.0,7
24_30,Spring Home-The Cam Ranh Resort,8.92,9.39,7.75,20.0,7
2_12,Căn hộ bãi biển Pearl Nha Trang (Pearl Nha Trang Beach Apartment),9.38,9.0,10.0,32.0,7
27_27,BN Center Hotel - Nguyen Thi Minh Khai,8.93,8.93,7.7,27.0,7
15_17,Khách Sạn Seana (Seana Hotel),9.41,9.7,10.0,180.0,6
38_15,Sun And Sea Apartment Nha Trang,8.85,8.52,6.29,36.0,6
35_16,Khách Sạn Ruby (Ruby Hotel),8.9,9.05,7.2,29.0,6
1_10,Olwen Hotel,8.86,8.87,10.0,43.0,6
13_27,Khách sạn Asteria Comodo Nha Trang (Asteria Comodo Nha Trang Hotel),9.47,9.58,10.0,122.0,6
3_3,Khu Nghỉ Dưỡng Movenpick Cam Ranh (Movenpick Resort Cam Ranh),9.39,9.65,10.0,134.0,5
2_28,Khách sạn Prague Nha Trang (Prague Nha Trang Hotel),8.8,9.44,7.74,23.0,5
1_26,khách sạn phố ngọc,9.05,8.47,4.7,21.0,5
37_3,Sky Beach D20 Nha Trang,9.22,9.89,9.87,33.0,5
13_10,L’Alya Vịnh Ninh Vân (L'Alya Ninh Van Bay),9.47,9.55,10.0,142.0,5
21_27,Khách Sạn Senia Nha Trang (Senia Hotel),9.12,9.6,9.96,158.0,4
12_1,Like Family Hotel,8.73,9.0,3.8,12.0,4
33_4,Panorama Beachfront Nha Trang Condotel,8.66,8.48,4.84,13.0,4
41_1,Khách sạn West Lake - Gần Bãi Dài (West Lake Hotel - Near Bãi Dài Beach),8.68,8.03,4.93,17.0,4
36_13,Căn hộ HighSea Nha Trang (HighSea Nha Trang Apartments),8.94,9.59,6.56,27.0,4
2_19,Royal Hotel Nha Trang,8.62,8.03,4.68,18.0,4
11_11,Citadines Bayfront Nha Trang,9.22,9.35,10.0,186.0,3
39_6,Khách sạn Magnolia Cam Ranh (Magnolia Hotel Cam Ranh),8.48,8.29,0.0,5.0,3
36_23,Khách sạn Nalicas (Nalicas Hotel),9.3,8.59,8.54,49.0,3
5_12,Odessa Hotel,8.27,8.31,3.23,12.0,3
3_6,Khách sạn Thái Bình (Khach san Thai Binh),8.07,7.13,9.19,11.0,3
3_15,A Páo Cafe & Homestay,9.54,9.92,5.12,19.0,3
7_26,Khu Nghỉ Dưỡng Radisson Blu Vịnh Cam Ranh (Radisson Blu Resort Cam Ranh),9.42,9.17,10.0,188.0,3
5_24,Khu Nghỉ Dưỡng Swandor Cam Ranh-Trọn Gói (Swandor Cam Ranh Resort-Ultra All Inclusive),9.11,9.51,10.0,179.0,3
6_9,Angella Hotel Nha Trang,8.67,7.79,6.91,22.0,3
12_24,Panorama Nha Trang Condotel,8.65,8.59,10.0,12.0,3
3_16,ibis Styles Nha Trang,8.99,9.08,10.0,176.0,2
2_22,TRUONG THINH HOTEL,9.44,9.28,2.86,10.0,2
13_3,Oasis Retreat - Muong Thanh Vien Trieu,9.44,9.92,0.0,5.0,2
4_11,Blue Sea 2 Hotel Nha Trang,8.49,8.13,1.83,7.0,2
3_25,Khách Sạn Ventana Nha Trang (Ventana Nha Trang Hotel),9.34,9.15,10.0,211.0,2
6_23,Potique Hotel,9.64,8.9,10.0,228.0,2
3_30,Grand Tourane Nha Trang Hotel,9.34,9.35,10.0,207.0,2
5_17,Khách Sạn Cliff Nha Trang (Cliff Hotel Nha Trang),8.84,7.53,1.94,9.0,2
38_5,La Casa Hotel Nha Trang,9.53,9.57,5.76,23.0,2
11_25,Six Senses Ninh Vân Bay (Six Senses Ninh Van Bay),9.32,9.55,10.0,115.0,2
4_16,Khách sạn Dqua (DQua Hotel),9.12,9.67,10.0,128.0,2
2_29,Khách sạn & Spa Boton Blue (Boton Blue Hotel & Spa),8.99,9.3,10.0,184.0,2
14_9,Khách sạn Thiên Trường (Thien Truong Hotel),9.48,9.91,10.0,16.0,2
1_6,Căn hộ Kymodo Panorama (Kymodo Panorama Apartment),9.39,9.35,10.0,171.0,2
16_10,Khách sạn Xavia (Xavia Hotel),9.58,9.06,10.0,148.0,1
5_23,KHÁCH SẠN SEAESTA NHA TRANG (SEAESTA NHA TRANG HOTEL),9.57,9.67,10.0,153.0,1
6_17,Boma Resort Nha Trang,9.41,9.26,10.0,225.0,1
4_3,Gonsala Hotel Nha Trang,9.6,9.8,2.48,12.0,1
