userId,num_hotels_reviewed,num_ratings
Sumi,3,3
HYEJI,3,3
Anastasia,3,3
HYUNJOO,3,3
Đoan,3,3
jaemin,3,3
KWON,3,3
Leon,3,3
YUNJEONG,3,3
vinh,3,3
Evan,3,3
Hiu,3,3
jeonga,3,3
Feng,3,3
GIA,3,3
Khôi,3,3
kyungjin,3,3
CUONG,3,3
Jerome,3,3
미경,3,3
hà,3,3
oanh,3,3
소연,3,3
KYUNG,3,3
현우,3,3
kiwan,3,3
Corey,3,3
Elaine,3,3
HIEN,3,3
Heather,3,3
Barbara,3,3
IULIIA,3,3
phạm,3,3
Susan,3,3
Arthur,3,3
Jerry,3,3
william,3,3
Daeun,3,3
hyejin,3,3
ASHLEY,3,3
jaewon,3,3
hyeeun,3,3
MIRA,3,3
truong,3,3
Raymond,3,3
Sven,3,3
Wayne,3,3
JINEOK,3,3
CONG,3,3
kien,3,3
HUỲNH,3,3
다희,3,3
SEOYEON,3,3
Tuoi,3,3
Điệp,3,3
SUNMI,3,3
wen,3,3
Catherine,3,3
Yeon,3,3
richard,3,3
Thạch,3,3
Glocent,3,3
Miyoung,3,3
Hiroshi,3,3
Shin,3,3
C,3,3
CHIA,3,3
cho,3,3
SOHYUN,3,3
Minsoo,3,3
Kyoung,3,3
yin,3,3
Yoon,3,3
Michel,3,3
Khue,3,3
NHI,3,3
Marek,3,3
Yoonjai,3,3
Nayoung,3,3
Yuan,3,3
su,3,3
명주,3,3
SORA,3,3
KHOA,3,3
Hảo,3,3
정현,3,3
sunisa,3,3
JUHEE,3,3
Miseon,3,3
Lyn,3,3
Larry,3,3
Frederic,3,3
ahn,3,3
Nicolas,3,3
Pierre,3,3
Minju,3,3
Natti,3,3
ly,3,3
Trình,3,3
eunyoung,3,3
alex,3,3
Thương,3,3
민경,3,3
Jinyoung,3,3
Travis,3,3
Tang,3,3
Dien,3,3
Thơ,3,3
đình,3,3
YOUNGMI,3,3
Shane,3,3
NARAE,3,3
phu,3,3
Vivian,3,3
SANGHYUN,3,3
si,3,3
현주,3,3
Sungtae,3,3
MINHEE,3,3
Candy,3,3
Shu,3,3
채원,3,3
Đồng,3,3
Heekyung,3,3
HaNa,3,3
Lại,3,3
kang,3,3
HoangAnh,3,3
Christina,3,3
Alexandra,3,3
Timothy,3,3
Diane,3,3
Basil,3,3
Mohamad,3,3
Quách,3,3
TONG,3,3
Sunghun,3,3
Hayley,3,3
wai,3,3
Dai,3,3
ngân,3,3
Will,3,3
boyoung,3,3
Regina,3,3
Vòng,3,3
Vui,3,3
Laurent,3,3
HƯƠNG,3,3
hyojin,3,3
do,3,3
HYEJIN,3,3
선영,3,3
JOAO,3,3
JIYOUNG,3,3
JONGHYUN,3,3
Rick,3,3
Sheryl,3,3
BORA,3,3
Glenn,3,3
Sunhee,3,3
LAURA,3,3
nhi,3,3
seohyun,3,3
lý,3,3
phú,3,3
HIỂN,3,3
HEEJIN,3,3
Adrienne,3,3
thái,3,3
jung,3,3
Joseph,3,3
sunhee,3,3
Dina,3,3
JEAHO,3,3
Hing,3,3
Joy,3,3
Youjin,3,3
chanvy,3,3
SUBIN,3,3
Siu,3,3
tuấn,3,3
Weng,3,3
duyen,3,3
Kathy,3,3
liem,3,3
JIYOON,3,3
seo,3,3
ying,3,3
YEJIN,3,3
phillip,3,3
Loi,3,3
Kyunghoon,3,3
jolie,3,3
현지,3,3
Wei,3,3
Jamie,3,3
SINH,3,3
HYUNWOO,3,3
Ruby,3,3
Tố,3,3
Jess,3,3
Misun,3,3
lam,3,3
SI,3,3
Gregory,3,3
sora,3,3
JEONGHYEON,3,3
WOOK,3,3
Triet,3,3
Vladislav,3,3
JISEON,3,3
như,3,3
tuong,3,3
Chee,3,3
NGÔ,3,3
Johnny,3,3
Quyền,3,3
Luciano,3,3
Tuck,3,3
JAEYOUNG,3,3
PHONG,3,3
WANG,3,3
Carina,3,3
LING,3,3
Lucy,3,3
SON,3,3
Tay,3,3
quan,3,3
Hứa,3,3
Suk,3,3
Brandon,3,3
THAI,3,3
Jisu,3,3
Ko,3,3
Kimberly,3,3
Selina,3,3
euna,3,3
철규,3,3
Chuong,3,3
HUAN,3,3
Anatolii,3,3
hyein,3,3
jina,3,3
WONG,3,3
NGUYÊN,3,3
Sophia,3,3
huỳnh,3,3
Kok,3,3
Milena,3,3
JAYDEN,3,3
Lụa,3,3
SEOHEE,3,3
mrquang,3,3
YUKI,3,3
Khả,3,3
Sara,3,3
Dimitrios,3,3
KHANH,3,3
Da,3,3
Yang,3,3
hye,3,3
Suyeon,3,3
Choo,3,3
ĐINH,3,3
Jeremy,3,3
EVGENII,3,3
Hyewon,3,3
CHIN,3,3
mun,3,3
Jong,3,3
Peggy,3,3
THAO,3,3
james,3,3
Dac,3,3
Hyein,3,3
Jian,3,3
Eugene,3,3
sunhwa,3,3
Siew,3,3
Quyết,3,3
Maya,3,3
Tịch,3,3
Brett,3,3
Laura,3,3
Đông,3,3
hyung,3,3
hyun,3,3
Vera,3,3
Jie,3,3
TRAM,3,3
TANG,3,3
Mohd,3,3
KIEU,3,3
xuan,3,3
K,2,2
Seonmo,2,2
Sao,2,2
Zaza,2,2
gloria,2,2
XU,2,2
Younghee,2,2
Shawn,2,2
tse,2,2
Angelina,2,2
Hyesoo,2,2
valerie,2,2
Khuat,2,2
지윤,2,2
eunhee,2,2
Minkyo,2,2
Loo,2,2
Sue,2,2
SEULBI,2,2
yunmi,2,2
ye,2,2
Kristy,2,2
hao,2,2
shinichi,2,2
Grace,2,2
Oleksandr,2,2
keumji,2,2
영진,2,2
KIHOON,2,2
TRINH,2,2
JUNGMIN,2,2
Nghị,2,2
Edwin,2,2
Kate,2,2
Soeun,2,2
Hyeri,2,2
지훈,2,2
Alison,2,2
sungmin,2,2
KI,2,2
MICHAEL,2,2
Sookyung,2,2
Yên,2,2
Kyungae,2,2
Sky,2,2
Ryu,2,2
Allan,2,2
jeonghyeon,2,2
minkyu,2,2
JOSHUA,2,2
Tiền,2,2
DON,2,2
Ngà,2,2
Yuliya,2,2
ARA,2,2
cong,2,2
loan,2,2
Mohammed,2,2
Bomi,2,2
uyên,2,2
Mary,2,2
JINWOOK,2,2
sung,2,2
Pik,2,2
thoa,2,2
TOAN,2,2
YEE,2,2
phượng,2,2
NHƯ,2,2
아름,2,2
jinkyung,2,2
Usakanae,2,2
WOORAM,2,2
MIKYUNG,2,2
Luyen,2,2
jason,2,2
혜림,2,2
Kyungjin,2,2
Daeyoung,2,2
Garam,2,2
Triết,2,2
sehwan,2,2
Luận,2,2
rejean,2,2
Terence,2,2
BOMI,2,2
Clare,2,2
Ari,2,2
mỹ,2,2
Tham,2,2
IURII,2,2
Antonin,2,2
Piyanat,2,2
AYOUNG,2,2
yiseul,2,2
YI,2,2
ARANG,2,2
ka,2,2
JAEHOON,2,2
kenji,2,2
Hayden,2,2
GAYEON,2,2
HWA,2,2
Antonio,2,2
Craig,2,2
Japhet,2,2
SANGHA,2,2
Denise,2,2
Fanny,2,2
PHƯƠNG,2,2
하영,2,2
JIYEONG,2,2
On,2,2
quy,2,2
ANDRE,2,2
Nyein,2,2
Hanah,2,2
binh,2,2
Darina,2,2
YUEN,2,2
Mun,2,2
Heung,2,2
Geoff,2,2
Sook,2,2
angela,2,2
Roy,2,2
Romain,2,2
Pete,2,2
jinyoung,2,2
SEMI,2,2
phương,2,2
SOOBIN,2,2
wei,2,2
SANGMIN,2,2
wang,2,2
Johnathan,2,2
vuong,2,2
Chak,2,2
Aeschbach,2,2
JuneBeom,2,2
Marc,2,2
nana,2,2
CHUA,2,2
wong,2,2
DANIEL,2,2
Barry,2,2
Sandy,2,2
liu,2,2
Colleen,2,2
HYEBIN,2,2
tae,2,2
soa,2,2
cuong,2,2
RICARDO,2,2
Seohee,2,2
Taeksoo,2,2
Jacqui,2,2
Dain,2,2
NINH,2,2
NGUYET,2,2
phi,2,2
mitsuo,2,2
HẠNH,2,2
jaehee,2,2
JC,2,2
Cheonho,2,2
Miyuki,2,2
Karl,2,2
miho,2,2
Alfred,2,2
Mihyeon,2,2
thy,2,2
GERRIT,2,2
Taehoon,2,2
Toni,2,2
Albert,2,2
Sarintip,2,2
CHU,2,2
yi,2,2
JINKYUNG,2,2
Chin,2,2
지현,2,2
YOUNGWOO,2,2
Carmen,2,2
Miu,2,2
Amber,2,2
Sâm,2,2
Coen,2,2
GO,2,2
Jinsoo,2,2
미정,2,2
Reza,2,2
Kris,2,2
Allen,2,2
Roderick,2,2
CHENG,2,2
Tae-Ha,2,2
Maricar,2,2
giuseppe,2,2
CHANGBIN,2,2
craig,2,2
Vitaly,2,2
SUNGTAE,2,2
YOUNGJUN,2,2
Chuan,2,2
heejin,2,2
younmi,2,2
nguyên,2,2
Sylvia,2,2
Bomin,2,2
YONJAE,2,2
Kobe,2,2
HOI,2,2
Alessio,2,2
jacques,2,2
SUNGHYUN,2,2
Abdul,2,2
Tik,2,2
TEE,2,2
Rin,2,2
Wan,2,2
SEUNGYEON,2,2
YESEUL,2,2
GIHUN,2,2
Nikolay,2,2
Lena,2,2
Hân,2,2
suong,2,2
Jen,2,2
Roberta,2,2
younghoon,2,2
Anny,2,2
GYUHEE,2,2
JINA,2,2
Buu,2,2
juhwan,2,2
Ernest,2,2
JAEEUN,2,2
SunYoung,2,2
Laila,2,2
T,2,2
PEON,2,2
Colten,2,2
HỒNG,2,2
in,2,2
SIN,2,2
